Wavelength,UHP-T-405-EP,UHP-T-415-SR,UHP-T-425-SR,UHP-T-435-SR,UHP-T-450-EP,UHP-T-470-SR,UHP-T-475-SR,UHP-T-480-SR,UHP-T-488-SR,UHP-T-495-SR,UHP-T-520-EP,UHP-T-545-LA21,UHP-T-545-SR,UHP-T-596-LA21,UHP-T-620-SR,UHP-T-625-EP,UHP-T-630-EP,UHP-T-630-SR,UHP-T-650-EP,UHP-T-670-SR,UHP-T-730-SR
229.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,0.001119792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246.5,0,0.00847973,0,0.000923372,0.000388,0,0,0,0.004221557,0.006330645,0,0,0,-0.000542763,0,0.000308,0,0,0,0,0
247,6.47E-05,0.008310811,0,0.001398467,0,0,0,0,0.004041916,0.005927419,0,0,0,-0.000799342,0,0.000178,0,0,0,0,0
247.5,5.07E-05,0.008040541,0,0.001340996,0,0,0,0,0.004101796,0.006048387,0.000291,0,0,-0.001473684,0,0,0,0,0.000248,0,0
248,0.000441503,0.008614865,0,0.002306513,0,0,0,0,0.004341317,0.006451613,0,0,0,-0.000898026,0,0,0,0.000202406,0,0,0
248.5,0.000425317,0.008614865,0,0.002375479,0,0,0,0,0.003772455,0.005887097,0.000652,0,0,-0.000898026,0,0,0,0,0,0,0
249,0.000614747,0.008412162,0,0.001731801,0,0,0,0,0.004161677,0.00641129,0.000999,0,0,-0.001365132,0,0,0,0,0,0,0
249.5,0.00052243,0.008513514,0,0.000616858,0,0,0,0,0.004431138,0.006693548,0.00147,0,0,-0.002483553,0,0.000292,0,0.000145944,0,0,0
250,0.000562594,0.008310811,0,-0.000482759,0,0,0,0,0.004760479,0.007056452,0.00173,0,0,-0.003421053,0,0.000743,0,0,0.0000194,0,0
250.5,0.000868019,0.008885135,0,8.31E-05,0,0,0,0,0.004191617,0.006129032,0.000361,0,0,-0.002759868,2.16E-05,0.0000471,0,0,0,0,0
251,0.000610251,0.008716216,0,0.001076628,0,0,0,0,0.004311377,0.006169355,0.000314,0,0,-0.001526316,0.000297572,0,0,0,0,0,0
251.5,0.000479868,0.008783784,0,0.001333333,0,0,0,0,0.003443114,0.004556452,0.0000536,0,0,-0.001236842,0.000269989,0,0,0,0,0,0
252,0.000246978,0.00875,0,0.001873563,0,0,0,0,0.004071856,0.005080645,0,0,0,-0.001039474,0,0,0,0,0,0,0
252.5,0.000484963,0.008952703,0,0.001490421,0,0,0,0,0.00508982,0.006370968,0.000261,0,0,-0.001375,0,0.000361,0,0,0,0,0
253,0.000314717,0.009391892,0,0.001455939,0,0,0,0,0.00488024,0.00608871,0.000937,0,0,-0.001516447,0,0.00038,0,0,0,0,0
253.5,0.000371366,0.009831081,0,0.001720307,0,0,0,0,0.005149701,0.006451613,0.000644,0,0,-0.001460526,0.000701,0,0,0,0,0,0
254,0.000490059,0.010844595,0,0.001448276,0,0,0,0,0.005359281,0.007137097,0.000405,0,0,-0.002016447,0.000280027,0,0,8.58E-06,0,0,0
254.5,0.001314317,0.010641892,0,0.00205364,0,0,0,0,0.00494012,0.007016129,0,0,0,-0.001493421,9.46E-05,0.0000492,0,0,0,0,0
255,0.001789989,0.010405405,0,0.002049808,0,0,0,0,0.005149701,0.007580645,0,0,0,-0.001200658,0,0.0000345,0,0,0,0,0
255.5,0.001441402,0.009527027,0,0.00243295,0.0000705,0,0,0,0.004730539,0.006814516,0,0,0,-0.00014375,0,0.0000465,0,0,0,0,0
256,0.00148906,0.009797297,0,0.002149425,0.000305,0,0,0,0.00505988,0.006733871,0,0,0,9.64E-05,0,0.0000893,0,0,0,0,0
256.5,0.001611349,0.009594595,0,0.001984674,0.000642,0,0,0,0.004461078,0.005524194,0.0000531,0,0,0.000119408,0,0.000132,0,0,0,0,0
257,0.001463882,0.009493243,0,0.000670498,0.000273,0,0,0,0.005239521,0.006572581,0.00032,0,0,-0.000792763,0,0.000131,0,0,0,0,0
257.5,0.001430312,0.009391892,0,0.001252874,0.000398,0,0,0,0.00508982,0.006370968,0.000595,0,0,-0.000326645,0,0.000161,0,0,0,0,0
258,0.001409631,0.009425676,0,0.001452107,0.000229,0,0,0,0.005688623,0.007016129,0.000589,0,0,-0.000257237,0,0.00017,0,0,0,0,0
258.5,0.001329603,0.009425676,0,0.000605364,0.000107,0,0,0,0.005808383,0.007298387,0.000506,0,0,-0.001072368,0,0.000127,0,0,0,0,0
259,0.001298131,0.009256757,0,0.001812261,0,0,6.63E-05,0,0.00502994,0.006693548,0.000455,0,0,1.81E-05,0,0.0000955,0,0,0,0,0
259.5,0.0013332,0.009155405,0,0.00145977,0,0,0,0,0.005149701,0.006895161,0.000537,0,0,-0.000277961,0,0.000121,0,0,0,0,0
260,0.001303527,0.009121622,0,0.001636015,0,0,0,0,0.004790419,0.006330645,0.000581,0,0,-9.14E-05,0,0.000146,0,0,0,0,0
260.5,0.001341892,0.009256757,0,0.001547893,0,0,0,0,0.00505988,0.006653226,0.000605,0,0,-0.000213487,0,0.000109,0,0,0,0,0
261,0.001341892,0.009391892,0,0.001662835,0,0,1.91E-05,0,0.005,0.006653226,0.000659,0,0,-0.000256908,0,0.0000396,0,0,0,0,0
261.5,0.001341592,0.009425676,0,0.001800766,0,0,0,0,0.00491018,0.006733871,0.000713,0,0,-0.000253618,0,0,0,0,0,0,0
262,0.001409331,0.009527027,0,0.001896552,0,1.99E-05,0,0,0.004850299,0.006774194,0.000733,0,0,-0.000268092,0,0,0,0,0,0,0
262.5,0.001451294,0.009763514,0,0.001931034,0,0,0,0,0.004820359,0.006733871,0.000722,0,0,-0.000313487,0,0,0,0,0.0000459,0,0
263,0.001425517,0.009763514,0,0.00189272,0,0,0,0,0.00488024,0.006774194,0.000677,0,0,-0.000260855,0,0,0,0,0.0000894,0,0
263.5,0.001394944,0.009763514,0,0.001942529,0,0,0,0,0.004850299,0.006814516,0.000634,0,0,-0.000241447,0,0,0,0,0.000123,0,0
264,0.001415925,0.009763514,0,0.002034483,0,0,0,0,0.004820359,0.006854839,0.000634,0,0,-0.000197368,0,0,0,0,0.000182,0,0
264.5,0.001476771,0.009797297,0,0.002084291,0,0,0,0,0.004790419,0.006854839,0.000661,0,0,-0.000191776,0,0,0,0,0.000246,0,0
265,0.001447997,0.009831081,0,0.002149425,0.0000856,0,0,0,0.004730539,0.006895161,0.000718,0,0,-0.000164145,0,0.0000393,0,0,0.000303,0,0
265.5,0.001413228,0.00972973,0,0.002214559,0.000172,0,0,0,0.004730539,0.006935484,0.000692,0,0,-0.000137829,0,0.000131,0,0,0.000248,0,0
266,0.001380257,0.009662162,0,0.002256705,0.000252,0,0,0,0.004700599,0.006975806,0.000642,0,0,-0.000135855,0,0.000193,0,0,0.000169,0,0
266.5,0.001380857,0.00972973,0,0.002298851,0.000316,0,0,0,0.004700599,0.007056452,0.000626,0,0,-0.000127632,0,0.000188,0,0,0.000143,0,0
267,0.001349685,0.009695946,0,0.002321839,0.000328,0,0,0,0.004700599,0.007096774,0.000609,0,0,-0.000129605,0,0.000159,0,0,0.00015,0,0
267.5,0.00131072,0.009628378,0,0.002314176,0.000306,0,0,0,0.004700599,0.007177419,0.000568,0,0,-0.00015,0,0.000108,0,0,0.000153,0,0
268,0.00126636,0.009527027,0,0.002302682,0.000343,0,0,0,0.004670659,0.007177419,0.000507,0,0,-0.000165132,0,0.000113,0,0,0.000118,0,0
268.5,0.001172245,0.009560811,0,0.002275862,0.000365,0,0,0,0.004640719,0.007177419,0.000448,0,0,-0.000179934,0,0.000143,0,0,0.0000587,0,0
269,0.001103007,0.009560811,0,0.002264368,0.000367,0,0,0,0.004640719,0.007258065,0.000303,0,0,-0.0001875,0,0.000136,0,0,0,0,0
269.5,0.001126086,0.009560811,0,0.002283525,0.000324,0,0,0,0.004670659,0.00733871,0.000197,0,0,-0.000174342,0,0.000149,0,0,0,0,0
270,0.001190229,0.009527027,0,0.002337165,0.000334,0,0,0,0.004670659,0.007379032,0.000143,0,0,-0.000146382,0,0.000204,0,0,0,0,0
270.5,0.001237586,0.009527027,0,0.002390805,0.000318,0,0,0,0.004670659,0.007379032,0.000166,0,0,-0.000136184,0,0.00026,0,0,0,0,0
271,0.001215706,0.009527027,0,0.002448276,0.000281,0,0,0,0.004610778,0.00733871,0.000162,0,0,-0.000127632,0,0.000269,0,0,0,0,0
271.5,0.001159656,0.009493243,0,0.002475096,0.000232,0,0,0,0.004610778,0.007298387,0.000157,0,0,-0.000132566,0,0.000194,0,0,0,0,0
272,0.00112189,0.009358108,0,0.002463602,0.000271,0,0,0,0.004610778,0.00733871,0.000176,0,0,-0.000165132,0,0.00018,0,0,0,0,0
272.5,0.001024777,0.009391892,0,0.002463602,0.000304,0,0,0,0.004640719,0.007419355,0.000228,0,0,-0.000179276,0,0.000186,0,0,0,0,0
273,0.000969028,0.009324324,0,0.002482759,0.000389,0,0,0,0.004610778,0.007419355,0.000256,0,0,-0.000170066,0,0.000183,0,0,0,0,0
273.5,0.00101069,0.009155405,0,0.002498084,0.000506,0,0,0,0.004670659,0.007459677,0.000256,0,0,-0.000162829,0,0.000163,0,0,0,0,0
274,0.00104426,0.009054054,0,0.002490421,0.000619,0,0,0,0.004760479,0.007580645,0.000249,0,0,-0.000187171,7.86E-05,0.000123,0,0,0,0,0
274.5,0.001059846,0.008918919,0,0.002475096,0.000681,0,0,0,0.004820359,0.007620968,0.000234,0,0,-0.000230592,0.000194374,0.000106,0,0,0,0,0
275,0.001028674,0.008817568,0,0.002498084,0.000712,0,0,0,0.004820359,0.007620968,0.000245,0,0,-0.000255592,0.000289375,0.000171,0,0,0,0,0
275.5,0.000949245,0.008783784,0,0.002505747,0.000712,0,0,0,0.004790419,0.007580645,0.000294,0,0,-0.000303947,0.000338529,0.000234,0,0,0,0,0
276,0.000860825,0.008614865,0,0.002517241,0.000753,0,0,0,0.004790419,0.007540323,0.00039,0,0,-0.000338816,0.000294063,0.000234,0,0,0,0,0
276.5,0.000761614,0.00847973,0,0.002544061,0.000764,0,0,0,0.004760479,0.007540323,0.000468,0,0,-0.000355263,0.00019167,0.000159,0,0,0,0,0
277,0.000696273,0.008547297,0,0.00254023,0.000775,0,0,0,0.004760479,0.0075,0.000512,0,0,-0.000394737,0.000155603,0.000149,0,0,0,0,0
277.5,0.00067799,0.008648649,0,0.00254023,0.000777,0,0,0,0.004760479,0.0075,0.00053,0,0,-0.000427632,0.000165583,0.000198,0.0000104,0,0,0,0
278,0.000705265,0.008952703,0,0.00251341,0.000803,0.000341462,0,0,0.004760479,0.007419355,0.00054,0,0,-0.000490132,0.0001659,0.000258,0.0000212,0,0,0,0
278.5,0.000784694,0.009256757,0,0.00248659,0.000767,0.000419955,0,0,0.004760479,0.007379032,0.000558,0,0,-0.000552632,0.000111999,0.000204,0.0000317,0,0,0,0
279,0.000872814,0.009425676,0,0.00245977,0.000734,0,0,0,0.004730539,0.007298387,0.000557,0,0,-0.000615132,3.66E-05,0.000167,0.0000417,0,0,0,0
279.5,0.00096693,0.009594595,0,0.002409962,0.000613,0,0,0,0.004670659,0.007177419,0.000509,0,0,-0.000697368,0,0.000148,0.0000546,0,0,0,0
280,0.000924068,0.009695946,0,0.002409962,0.000517,0,0,0,0.004580838,0.007096774,0.000478,0,0,-0.000726974,0,0.000157,0.0000692,0,0,0,0
280.5,0.000873713,0.009662162,0,0.00243295,0.000493,0,0,0,0.004550898,0.007056452,0.000466,0,0,-0.000723684,0,0.000127,0.0000848,0,0,0,0
281,0.00082156,0.009560811,0,0.002452107,0.000509,0,0,0,0.004520958,0.007056452,0.000461,0,0,-0.000700658,0,0.000106,0.000101,0,0,0,0
281.5,0.000839844,0.009324324,0,0.002467433,0.000485,0,0,0,0.004520958,0.007016129,0.000468,0,0,-0.000661184,0,0.0000377,0.00012,0,0,0,0
282,0.000892596,0.009054054,0,0.002444444,0.000393,0,0,0,0.004491018,0.006975806,0.000488,0,0,-0.000644737,0,0.0000781,0.000142,0,0,0,0
282.5,0.00087761,0.00902027,0,0.002398467,0.000293,0,0,0,0.004461078,0.006935484,0.000521,0,0,-0.000648026,0,0.0000297,0.000166,0,0,0,0
283,0.000923169,0.008918919,0,0.002321839,0.000211,0,0,0,0.004461078,0.006895161,0.000547,0,0,-0.000680921,0,0,0.000199,0,0,0,0
283.5,0.000946848,0.008918919,0,0.002272031,0.000176,0,0,0,0.004461078,0.006854839,0.000547,0,0,-0.000697368,0,0,0.00024,0,0,0,0
284,0.001023579,0.008952703,0,0.002229885,0.000145,0,0,0,0.004491018,0.006854839,0.000619,0,0,-0.000713816,0,0.0000439,0.000284,0,0,0,0
284.5,0.001074533,0.008918919,0,0.002206897,0.000103,0,0,0,0.004520958,0.006895161,0.000661,0,0,-0.000730263,0,0.000125,0.000331,0,0,0,0
285,0.001067639,0.008885135,0,0.002168582,0.000163,0,0,0,0.004550898,0.006895161,0.000665,0,0,-0.000766447,0,0.000237,0.000374,0,0,0,0
285.5,0.001019982,0.008851351,0,0.002153257,0.000218,0,0,0,0.004580838,0.006895161,0.00071,0,0,-0.000779605,0,0.000248,0.000408,0,0,0,0
286,0.001004696,0.00875,0,0.002137931,0.000279,0,0,0,0.004640719,0.006935484,0.000789,0,0,-0.000786184,0,0.000268,0.000434,0,0,0,0
286.5,0.001037966,0.008851351,0,0.002149425,0.000392,0,0,0,0.004640719,0.006895161,0.000961,0,0,-0.000759868,0,0.000267,0.000447,0,0,0,0
287,0.001091318,0.008918919,0,0.002183908,0.000424,0,0,0,0.004580838,0.006814516,0.00112,0,0,-0.000707237,0,0.000201,0.000456,0,0,0,0
287.5,0.001142571,0.008952703,0,0.002203065,0.000414,0,0,0,0.004520958,0.006733871,0.00118,0,0,-0.000657895,0,0.000166,0.000458,0,0,0,0
288,0.001102108,0.008986486,0,0.002114943,0.000408,0,0,0,0.004461078,0.006653226,0.00125,0,0,-0.000697368,0,0.0000904,0.000451,0,0,0,0
288.5,0.001029873,0.008952703,0,0.002084291,0.000478,0,0,0,0.004461078,0.006653226,0.00133,0,0,-0.0006875,0,0.000035,0.000435,0,0,0,0
289,0.001006494,0.008918919,0,0.002045977,0.000546,0,0,0,0.004491018,0.006693548,0.00137,0,0,-0.0006875,0,0.0000479,0.000414,0,0,0,0
289.5,0.000846438,0.008851351,0,0.002007663,0.000582,0,0,0,0.004580838,0.006774194,0.00138,0,0,-0.000694079,0,0.0000562,0.000393,0,0,0,0
290,0.000719952,0.008817568,0,0.001969349,0.000583,0,0,0,0.004580838,0.006774194,0.00144,0,0,-0.000700658,0,0.0000741,0.00037,1.92E-05,0,0,0
290.5,0.000546108,0.008783784,0,0.001942529,0.000561,0,0,0,0.004610778,0.006774194,0.00144,0,0,-0.000700658,0,0.000135,0.000349,8.20E-05,0,0,0
291,0.000408832,0.008783784,0,0.001923372,0.000517,0,0.000226614,0,0.004640719,0.006733871,0.00141,0,0,-0.0006875,0,0.000104,0.000328,6.14E-05,0,0,0
291.5,0.000298831,0.008885135,0,0.001954023,0.000469,0,0.000662231,0,0.004730539,0.006814516,0.00138,0,0,-0.000628289,0,0.0000409,0.000307,7.65E-05,0,0,0
292,0.000262264,0.00902027,0,0.002011494,0.000436,7.68E-05,0.00060998,0,0.004790419,0.006814516,0.00134,0,0,-0.000546053,0,0,0.000284,6.47E-05,0,0,0
292.5,0.000209811,0.00902027,0,0.00205364,0.0004,1.95E-05,0.000458513,0,0.004850299,0.006854839,0.0013,0,0,-0.000480263,0,0,0.000258,5.47E-05,0,0,0
293,0.000114797,0.008952703,0,0.002095785,0.000286,0,0,0,0.00491018,0.006854839,0.00123,0,0,-0.000421053,0,0,0.00023,0,0,0,0
293.5,1.53E-05,0.008817568,0,0.002122605,0.000215,0,0,0,0.00494012,0.006854839,0.00109,0,0,-0.000391447,0,0,0.000201,2.62E-05,0,0,0
294,0,0.008817568,0,0.002149425,0.000197,0,0,0,0.005,0.006895161,0.00102,0,0,-0.000388158,0,0,0.000174,8.67E-05,0,0,0
294.5,0,0.008817568,0,0.002183908,0.000208,0,0,0,0.00505988,0.006895161,0.000945,0,0,-0.000394737,0,0,0.000151,0.000158065,0,0,0
295,0,0.008885135,0,0.002249042,0.000187,0,0,0,0.00505988,0.006895161,0.000855,0,0,-0.000371711,0,0,0.000132,0.000189941,0,0,0
295.5,0.000124088,0.008918919,0,0.002302682,0.00015,0,0,0,0.00505988,0.006854839,0.000807,0,0,-0.000338816,0,0,0.000111,0.000264414,0,0,0
296,0.000317714,0.009155405,0,0.002329502,0.000127,0,0,0,0.00508982,0.006854839,0.000806,0,0,-0.000310855,0,0,0.0000882,0.000307783,0,0,0
296.5,0.000490658,0.009391892,0,0.002363985,0.0000954,0,0,0,0.00508982,0.006854839,0.000752,0,0,-0.000259539,0,0.00000695,0.0000613,0.000328367,0,0,0
297,0.000629134,0.009358108,0,0.002386973,0.0000792,0,0,0,0.00508982,0.006814516,0.000675,0,0,-0.000204934,0,0.0000998,0.0000342,0.000350494,0,0,0
297.5,0.00073284,0.009290541,0,0.002425287,0.000124,0,0,0,0.00505988,0.006733871,0.000633,0,0,-0.000141776,0,0.000144,0.00000907,0.000443264,0,0,0
298,0.000807173,0.009324324,0,0.002467433,0.000126,0,0,0,0.00502994,0.006653226,0.000589,0,0,-9.21E-05,0,0.000141,0,0.00047817,0,0,0
298.5,0.00091088,0.009391892,0,0.002494253,0.000116,0,0,0,0.005,0.006572581,0.000597,0,0,-7.93E-05,0,0.000139,0,0.000486089,0.00000447,0,0
299,0.001048456,0.009391892,0,0.002490421,0.000194,0,0,0,0.00491018,0.006491935,0.000634,0,0,-0.000105592,0,0.0000917,0,0.000487833,0.0000968,0,0
299.5,0.001142871,0.009324324,0,0.002490421,0.000328,0,8.04E-05,0,0.004850299,0.00641129,0.00067,0,0,-0.000136184,0,0.0000698,0,0.000482487,0.000157,0,0
300,0.001253771,0.009189189,0,0.002467433,0.00041,0,0.000150881,0,0.004820359,0.00641129,0.00075,0,0,-0.000176645,0,0.000101,0,0.000411588,0.000239,0,0
300.5,0.001348186,0.009256757,0,0.002521073,0.000436,0.000282509,0.000406849,0,0.004850299,0.006451613,0.000787,0,0,-0.000135526,0,0.0000655,0,0.000247404,0.000257,0,0
301,0.001415326,0.009391892,0,0.002616858,0.000462,0.000247402,0.000690117,0,0.00488024,0.006532258,0.000814,0,0,-4.80E-05,0,0.0000452,0,9.74E-05,0.000282,0,0
301.5,0.001406334,0.009459459,0,0.002639847,0.000492,0.000354709,0.000588258,0,0.004850299,0.006491935,0.000824,0,0,-7.63E-06,0,0.0000556,0,0,0.000305,0,0
302,0.001323009,0.009358108,0,0.002662835,0.000608,0.000540509,1.56E-05,0,0.004820359,0.006491935,0.00086,0,0,2.66E-05,0,0.000106,0,0,0.00035,0,0
302.5,0.001232491,0.009256757,0,0.002716475,0.000744,0,0,0,0.004820359,0.006491935,0.000885,0,0,7.60E-05,0,0.000119,0,0,0.000381,0,0
303,0.001148266,0.009222973,0,0.002750958,0.000884,0,0,0,0.004820359,0.006572581,0.000926,0,0,0.000101645,0,0.000096,0,0,0.000423,0,0
